strategy,initial_balance,final_balance,total_return_pct,total_trades,win_rate_pct,max_drawdown,avg_profit,avg_loss,rr_ratio,avg_trade_return
trailing_stop_0.02,1000,1350.864984,35.09,25,40,90.27,53.45,12.24,4.37,14.03
trailing_stop_0.015,1000,1287.771324,28.78,24,37.5,91.87,51.7,11.84,4.37,11.99
takeprofit_0.03,1000,1327.462537,32.75,25,48,92.66,41.12,12.77,3.22,13.1
